subject_id,title,rating,genre,release_year,duration,summary,country,directors,detail_url,comment_len
1291557,花样年华,8.8,中国香港/剧情 爱情,2000,0,,中国香港/剧情 爱情,王家卫/Kar/Wai,https://movie.douban.com/subject/1291557/,0
1858711,玩具总动员3,8.9,喜剧 动画 奇幻 冒险/美国/蒂姆·艾... 2010,2010,0,,美国/喜剧 动画 奇幻 冒险,李·昂克里奇/Lee/Unkrich,https://movie.douban.com/subject/1858711/,0
26628357,一个叫欧维的男人决定去死,8.9,剧情/瑞典,2015,0,,瑞典/剧情,汉内斯·赫尔姆/Hannes/Holm,https://movie.douban.com/subject/26628357/,0
1300992,完美的世界,9.1,剧情 犯罪/美国,1993,0,,美国/剧情 犯罪,克林特·伊斯特伍德/Clint/Eastwood,https://movie.douban.com/subject/1300992/,0
1828115,色，戒,8.7,... 2007/剧情 爱情 情色/汤唯 Wei Tang,2007,0,,汤唯 Wei Tang/中国台湾 中国大陆 美国 中国香港/剧情 爱情 情色,李安/Ang/Lee,https://movie.douban.com/subject/1828115/,0
1291875,阳光灿烂的日子,8.8,中国大陆 中国香港/剧情 爱情/宁静 Jing Ning,1994,0,,宁静 Jing Ning/中国大陆 中国香港/剧情 爱情,姜文/Wen/Jiang,https://movie.douban.com/subject/1291875/,0
1291579,怪兽电力公司,8.8,美国,2001,0,,美国/儿童 喜剧 动画 奇幻 冒险,彼特·道格特/Pete/Docter,https://movie.douban.com/subject/1291579/,0
25814705,小森林 夏秋篇,9.0,剧情/日本,2014,0,,日本/剧情,森淳一/Junichi/Mori,https://movie.douban.com/subject/25814705/,0
1292215,天使爱美丽,8.7,剧情 喜剧 爱情/法国 德国,2001,0,,法国 德国/剧情 喜剧 爱情,让-皮埃尔·热内/Jean-Pierre/Jeunet,https://movie.douban.com/subject/1292215/,0
1294240,教父3,9.0,剧情 犯罪/美国,1990,0,,美国/剧情 犯罪,弗朗西斯·福特·科波拉/Francis/Ford,https://movie.douban.com/subject/1294240/,0
1297052,侧耳倾听,8.9,剧情 爱情 动画/日本,1995,0,,日本/剧情 爱情 动画,近藤喜文/Yoshifumi/Kondo,https://movie.douban.com/subject/1297052/,0
1307315,哪吒闹海,9.2,中国大陆/冒险 动画 奇幻,1979,0,,中国大陆/冒险 动画 奇幻,王树忱/Shuchen/Wang,https://movie.douban.com/subject/1307315/,0
1297518,九品芝麻官,8.8,... 1994/中国香港/剧情 喜剧 古装,1994,0,,吴孟达 Man Tat Ng/中国香港/剧情 喜剧 古装,王晶/Jing/Wong,https://movie.douban.com/subject/1297518/,0
6307447,被解救的姜戈,8.8,... 2012/剧情 动作 西部 冒险/美国,2012,0,,美国/剧情 动作 西部 冒险,昆汀·塔伦蒂诺/Quentin/Tarantino,https://movie.douban.com/subject/6307447/,0
26799731,请以你的名字呼唤我,8.8,... 2017/剧情 爱情 同性/意大利 法国 巴西 美国,2017,0,,意大利 法国 巴西 美国/剧情 爱情 同性,卢卡·瓜达尼诺/Luca/Guadagnino,https://movie.douban.com/subject/26799731/,0
1292274,幸福终点站,8.8,喜剧 剧情 爱情/美国,2004,0,,美国/喜剧 剧情 爱情,史蒂文·斯皮尔伯格/Steven/Spielberg,https://movie.douban.com/subject/1292274/,0
25986180,釜山行,8.6,动作 惊悚 灾难/韩国/马... 2016,2016,0,,韩国/动作 惊悚 灾难,延尚昊/Sang-ho/Yeon,https://movie.douban.com/subject/25986180/,0
3287562,神偷奶爸,8.7,喜剧 动画 冒险/美国 法国,2010,0,,美国 法国/喜剧 动画 冒险,皮艾尔·柯芬/Pierre/Coffin,https://movie.douban.com/subject/3287562/,0
25814707,小森林 冬春篇,9.0,剧情/日本,2015,0,,日本/剧情,森淳一/Junichi/Mori,https://movie.douban.com/subject/25814707/,0
1303037,喜宴,9.0,中国台湾 美国/郎... 1993,1993,0,,中国台湾 美国/剧情 喜剧 爱情 同性 家庭,李安/Ang/Lee,https://movie.douban.com/subject/1303037/,0
5989818,萤火之森,8.8,剧情 爱情 动画 奇幻/日本,2011,0,,日本/剧情 爱情 动画 奇幻,大森贵弘/Takahiro/Omori,https://movie.douban.com/subject/5989818/,0
4268598,告白,8.8,剧情 悬疑/日本,2010,0,,日本/剧情 悬疑,中岛哲也/Tetsuya/Nakashima,https://movie.douban.com/subject/4268598/,0
3072124,玛丽和麦克斯,9.0,剧情 喜剧 动画/澳大利亚 美国/菲利... 2009,2009,0,,澳大利亚 美国/剧情 喜剧 动画,亚当·艾略特/Adam/Elliot,https://movie.douban.com/subject/3072124/,0
1295399,七武士,9.3,动作 冒险 剧情/志村乔 ... 1954/日本,1954,0,,日本/动作 冒险 剧情,黑泽明/Akira/Kurosawa,https://movie.douban.com/subject/1295399/,0
